transaction_id,transaction_date,account_id,client_card,account_to,amount,transaction_type,location,ip_address,platform,label
6ec09d3b-0bbc-4f21-a973-3e82b329c80a,2024-01-06 07:03:40.780269,"('de7c3bb4-3c4a-48ea-a464-693aef305da4',)",4076740976150,3963,5185,payment,"('57.97472', '33.2525', 'Valday', 'RU', 'Europe/Moscow')",222.144.200.214,Opera/8.68.(Windows NT 5.0; dv-MV) Presto/2.9.181 Version/12.00,0
1ce00566-c4e7-436f-9fff-77b42d212d3f,2024-08-11 13:08:41.780269,"('c59da3a9-55d6-42ae-9e36-28c8816438e3',)",2221114987731765,4608,4649,transfer,"('42.819', '47.1192', 'Buynaksk', 'RU', 'Europe/Moscow')",214.192.88.183,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_6 rv:5.0; mg-MG) AppleWebKit/534.24.6 (KHTML, like Gecko) Version/4.0 Safari/534.24.6",0
a088e28b-0aa5-4594-945c-e85604606b2d,2024-09-01 18:07:14.780269,"('8d88edba-d938-413e-87cf-0462e5fda62e',)",4045556003885191,2861,9830,payment,"('51.78771', '56.36091', 'Saraktash', 'RU', 'Asia/Yekaterinburg')",120.40.212.87,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/5.0),1
a3d36b67-fe9a-4536-8cf7-a0a4e2fe70c6,2024-01-23 21:46:37.780269,"('b11ee815-0cd6-4e43-89f4-df42a92a5ad0',)",30577115273659,7391,3193,transfer,"('61.78491', '34.34691', 'Petrozavodsk', 'RU', 'Europe/Moscow')",20.94.150.198,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/22.0.800.0 Safari/532.1",0
e85f5601-7997-4492-bc40-b6e61c52bba6,2024-01-27 08:14:25.780269,"('bf68a18b-ec73-4d25-ba18-c6da92f64ac0',)",4508249076777,7990,3816,payment,"('56.03361', '35.96944', 'Volokolamsk', 'RU', 'Europe/Moscow')",165.143.137.66,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/535.49.6 (KHTML, like Gecko) Version/4.0 Safari/535.49.6",0
7c6afd45-113f-4503-a2c4-11bc0582a871,2024-02-04 09:16:07.780269,"('e887610b-cabe-46d6-8f95-b1229bbf2460',)",4674753272740641735,8694,9408,deposit,"('50.06', '43.2379', 'Mikhaylovka', 'RU', 'Europe/Volgograd')",172.9.12.166,"Mozilla/5.0 (Linux; Android 4.0.2) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/16.0.870.0 Safari/533.1",1
76520bd8-2308-40a6-bdf9-61df0aa565d2,2024-04-08 04:42:36.780269,"('b8491d61-4ef6-41d4-aac0-90f560dbec76',)",3572263051039259,8811,7797,withdrawal,"('43.96222', '43.63417', 'Novopavlovsk', 'RU', 'Europe/Moscow')",187.46.215.77,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/35.0.821.0 Safari/534.0",1
f7426402-a73f-48a5-b7ca-2d3267575376,2024-03-10 04:05:23.780269,"('e4b08087-f50d-4a57-992f-ce38d94996ed',)",4405246531138,4249,7094,payment,"('54.8421', '46.5813', 'Alatyr’', 'RU', 'Europe/Moscow')",183.91.151.134,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/5.0),0
fe31aa4a-0661-4312-9320-da90c440f695,2024-06-11 16:09:25.780269,"('97fa0a47-2373-42da-a8ca-09c6ffb7f249',)",213125925534552,9732,6181,payment,"('53.53395', '33.72798', 'Zhukovka', 'RU', 'Europe/Moscow')",176.21.105.50,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.1),0
eaa0709b-0f0e-48c5-96a1-387936b09c2b,2024-05-16 16:46:47.780269,"('a469a6a2-c7b4-45a0-8c53-fc812568aa1b',)",3534766211274191,9066,8135,transfer,"('55.54028', '89.20083', 'Sharypovo', 'RU', 'Asia/Krasnoyarsk')",110.5.161.24,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_6 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) CriOS/20.0.878.0 Mobile/29R493 Safari/535.1",1
